Match_id,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
1022347,England,Bangladesh,Kennington Oval,England,field,England,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Mosaddek Hossain,Nasir Hossain,Mashrafe Mortaza,Shafiul Islam,Taskin Ahmed
1022349,Australia,New Zealand,Edgbaston,New Zealand,bat,draw,Tamim Iqbal,Imrul Kayes,Sabbir Rahman,Mahmudullah,Mushfiqur Rahim,Shakib Al Hasan,Nasir Hossain,Mosaddek Hossain,Mashrafe Mortaza,Shafiul Islam,Taskin Ahmed
1022351,South Africa,Sri Lanka,Kennington Oval,Sri Lanka,field,South Africa,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,JDS Neesham,MJ Santner,DAJ Bracewell,TG Southee,IS Sodhi
1022353,India,Pakistan,Edgbaston,Pakistan,field,India,MJ Guptill,KS Williamson,TWM Latham,LRPL Taylor,CJ Anderson,L Ronchi,MJ Santner,AP Devcich,TG Southee,MJ Henry,TA Boult
1022355,Australia,Bangladesh,Kennington Oval,Bangladesh,bat,draw,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,JDS Neesham,MJ Santner,TG Southee,MJ Henry,TA Boult
1022357,England,New Zealand,Sophia Gardens,New Zealand,field,England,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,JDS Neesham,BJ Watling,AP Devcich,MJ Santner,TG Southee,TA Boult,IS Sodhi
1022359,Pakistan,South Africa,Edgbaston,South Africa,bat,Pakistan,AM Rahane,RG Sharma,V Kohli,MS Dhoni,MK Pandey,KM Jadhav,AR Patel,J Yadav,UT Yadav,JJ Bumrah,A Mishra
1022361,India,Sri Lanka,Kennington Oval,Sri Lanka,field,Sri Lanka,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,CR Woakes,MA Wood,LE Plunkett,AU Rashid
1022363,Bangladesh,New Zealand,Sophia Gardens,New Zealand,bat,Bangladesh,JJ Roy,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,MA Wood,JT Ball,LE Plunkett,AU Rashid
1022365,England,Australia,Edgbaston,England,field,England,JJ Roy,JE Root,AD Hales,EJG Morgan,JC Buttler,AU Rashid,JM Bairstow,DJ Willey,TS Roland-Jones,JT Ball,ST Finn
1022367,India,South Africa,Kennington Oval,India,field,India,TWM Latham,L Ronchi,NT Broom,LRPL Taylor,CJ Anderson,JDS Neesham,MJ Santner,C Munro,MJ Henry,JS Patel,HK Bennett
1022369,Pakistan,Sri Lanka,Sophia Gardens,Pakistan,field,Pakistan,JJ Roy,AD Hales,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,DJ Willey,JT Ball,AU Rashid
1022371,England,Pakistan,Sophia Gardens,Pakistan,field,Pakistan,KL Rahul,S Dhawan,V Kohli,Yuvraj Singh,MS Dhoni,KM Jadhav,HH Pandya,RA Jadeja,B Kumar,JJ Bumrah,R Ashwin
1022375,India,Pakistan,Kennington Oval,India,field,Pakistan,JJ Roy,SW Billings,JM Bairstow,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,LE Plunkett,DJ Willey,JT Ball
1027315,West Indies,England,"""Sir Vivian Richards Stadium",West Indies,field,England,Azhar Ali,Babar Azam,Sharjeel Khan,Shoaib Malik,Sarfraz Ahmed,Mohammad Rizwan,Imad Wasim,Mohammad Nawaz (3),Wahab Riaz,Mohammad Amir,Hasan Ali
1027317,West Indies,England,"""Sir Vivian Richards Stadium",West Indies,bat,England,Azhar Ali,Sharjeel Khan,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Mohammad Rizwan,Mohammad Amir,Hasan Ali,Wahab Riaz,Mohammad Nawaz (3)
1027319,West Indies,England,"""Kensington Oval",West Indies,field,England,Azhar Ali,Sharjeel Khan,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Mohammad Rizwan,Imad Wasim,Mohammad Nawaz (3),Sohail Khan,Hasan Ali,Wahab Riaz
1029819,Bangladesh,England,Shere Bangla National Stadium,England,bat,England,J Charles,KC Brathwaite,E Lewis,SD Hope,JL Carter,R Powell,CR Brathwaite,JO Holder,AR Nurse,SJ Benn,ST Gabriel
1029821,Bangladesh,England,Shere Bangla National Stadium,England,field,Bangladesh,DM de Silva,MDKJ Perera,N Dickwella,BKG Mendis,GSNFG Jayasuriya,WU Tharanga,DAS Gunaratne,SS Pathirana,KMDN Kulasekara,RAS Lakmal,N Pradeep
1029823,Bangladesh,England,Zahur Ahmed Chowdhury Stadium,England,field,England,Ahmed Shehzad,Kamran Akmal,Mohammad Hafeez,Babar Azam,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Mohammad Amir,Hasan Ali,Wahab Riaz,Shadab Khan
1030219,India,New Zealand,Himachal Pradesh Cricket Association Stadium,India,field,India,Ahmed Shehzad,Kamran Akmal,Babar Azam,Mohammad Hafeez,Shoaib Malik,Sarfraz Ahmed,Imad Wasim,Mohammad Amir,Junaid Khan,Hasan Ali,Shadab Khan
